Year,School,OSRS,DSRS
2007,New Mexico,-4.7,7.19
2007,Washington State,1.11,0.56
2007,Pittsburgh,-2.94,4.58
2007,Nebraska,6.87,-5.39
2007,East Carolina,4,-2.99
2007,Indiana,2.43,-2.09
2007,Tulsa,7.32,-7.22
2007,Stanford,-2.73,1.63
2007,Miami (FL),-3.89,2.66
2007,Mississippi,-2.56,1.25
2007,Houston,0.12,-1.62
2007,North Carolina,-2.27,0.45
2007,Southern Mississippi,-3.52,1.43
2007,Florida Atlantic,1.51,-3.94
2007,Ball State,0.5,-3.38
2007,Navy,12.74,-15.64
2007,North Carolina State,-2.92,-0.21
2007,Iowa,-10.19,6.76
2007,Wyoming,-5.24,1.73
2007,Northwestern,-0.54,-3.16
2007,Central Michigan,6.45,-10.45
2007,Western Kentucky,-6,1.14
2007,Middle Tennessee State,-4.32,-0.64
2007,Notre Dame,-8,2.98
2007,Bowling Green State,-0.84,-4.19
2007,Nevada,3.25,-8.34
2007,Colorado State,0.68,-6.83
2007,San Diego State,1.34,-7.94
2007,Louisiana-Monroe,-4.72,-1.92
2007,Iowa State,-7.08,-0.14
2007,Western Michigan,-3.13,-4.31
2007,Arkansas State,-5.44,-2.54
2007,Memphis,0.14,-8.54
2007,Louisiana Tech,-7,-1.46
2007,San Jose State,-8.9,0.26
2007,Nevada-Las Vegas,-7.93,-1.08
2007,Ohio,0.88,-9.97
2007,Miami (OH),-10.64,1.36
2007,Texas-El Paso,2.97,-12.26
2007,Buffalo,-6.44,-3.29
2007,Marshall,-3.54,-6.39
2007,Duke,-5.74,-4.6
2007,Syracuse,-6.26,-4.46
2007,Baylor,-7.8,-3.35
2007,Utah State,-6.45,-4.83
2007,Minnesota,1.49,-13.17
2007,Eastern Michigan,-5.05,-6.83
2007,Toledo,2.26,-14.16
2007,Kent State,-7.99,-4.3
2007,New Mexico State,-4.04,-8.27
2007,Akron,-6.34,-6.19
2007,Louisiana-Lafayette,-4.84,-8.52
2007,Tulane,-6.86,-6.71
2007,Army,-11.94,-1.96
2007,Alabama-Birmingham,-8.66,-5.32
2007,Rice,1.16,-15.74
2007,Temple,-12.53,-2.24
2007,Southern Methodist,-2.72,-12.73
2007,Florida International,-11.54,-4.3
2007,North Texas,-4.25,-11.59
2007,Idaho,-6.56,-10.5
2007,Northern Illinois,-12.95,-5.15
