Year,School,WinPct,PtsScored,PtsAllowed
2008,Northern Illinois,0.462,24.2,18
2008,Northwestern,0.692,24.4,20.2
2008,Notre Dame,0.538,24.7,22.2
2008,Ohio,0.333,24.1,27.3
2008,Ohio State,0.769,27.6,13.9
2008,Oklahoma,0.857,51.1,24.5
2008,Oklahoma State,0.692,40.8,28.1
2008,Oregon,0.769,41.9,28.2
2008,Oregon State,0.692,30.5,23.1
2008,Penn State,0.846,38.9,14.4
2008,Pittsburgh,0.692,27.1,21.5
2008,Purdue,0.333,24.7,25.1
2008,Rice,0.769,41.3,33.3
2008,Rutgers,0.615,29,18.8
2008,San Diego State,0.167,19.3,37.2
2008,San Jose State,0.5,18.7,21.6
2008,South Carolina,0.538,20.8,21.1
2008,South Florida,0.615,27.6,20
2008,Southern California,0.923,37.5,9
2008,Southern Methodist,0.083,21.3,38.2
2008,Southern Mississippi,0.538,30.6,24.1
2008,Stanford,0.417,26.3,27.4
2008,Syracuse,0.25,18.1,32.7
2008,Temple,0.417,23.4,23.1
2008,Tennessee,0.417,17.3,16.8
2008,Texas,0.923,42.4,18.8
2008,Texas A&M,0.333,25,37.4
2008,Texas Christian,0.846,33.6,11.3
2008,Texas Tech,0.846,43.8,27.8
2008,Texas-El Paso,0.417,32.9,37
2008,Toledo,0.25,22.4,31.4
2008,Troy,0.615,32.8,21.3
2008,Tulane,0.167,16.7,34.5
2008,Tulsa,0.786,47.2,27.9
2008,UCLA,0.333,17.7,29
2008,Utah,1,36.9,17.2
2008,Utah State,0.25,24,34.7
2008,Vanderbilt,0.538,19.2,19.6
2008,Virginia,0.417,16.1,21.7
2008,Virginia Tech,0.714,22.1,16.7
2008,Wake Forest,0.615,21,18.3
2008,Washington,0,13.3,38.6
2008,Washington State,0.154,12.7,43.8
2008,West Virginia,0.692,24.5,17
2008,Western Kentucky,0.167,17.5,27.2
2008,Western Michigan,0.692,28.6,24.9
2008,Wisconsin,0.538,27.5,26.5
2008,Wyoming,0.333,12.7,27.8
2007,Air Force,0.692,29.9,21.1
2007,Akron,0.333,21.2,29.2
2007,Alabama,0.538,27.1,22
2007,Alabama-Birmingham,0.167,19.6,35.1
2007,Arizona,0.417,28,26.8
2007,Arizona State,0.769,32.3,22.5
2007,Arkansas,0.615,37.3,26.5
2007,Arkansas State,0.417,24.3,27.6
2007,Army,0.25,16.9,30.3
2007,Auburn,0.692,24.2,16.9
2007,Ball State,0.538,31.5,28.3
2007,Baylor,0.25,18.2,37
2007,Boise State,0.769,42.4,21.6
2007,Boston College,0.786,28.3,20.4
2007,Bowling Green State,0.615,30.2,32.1
2007,Brigham Young,0.846,30.1,18.5
2007,Buffalo,0.417,24.3,27.6
2007,California,0.538,29.3,26.8
2007,Central Florida,0.714,35.9,26.6
2007,Central Michigan,0.571,34.8,36.9
2007,Cincinnati,0.769,36.3,18.8
2007,Clemson,0.692,33.1,18.7
2007,Colorado,0.462,27.3,29.5
2007,Colorado State,0.25,25.3,30.8
2007,Connecticut,0.692,26.5,19
2007,Duke,0.083,17.9,33.2
2007,East Carolina,0.615,31,30.4
2007,Eastern Michigan,0.333,24.2,31.2
2007,Florida,0.692,42.5,25.5
2007,Florida Atlantic,0.615,31.2,33.2
2007,Florida International,0.083,15.1,39.1
2007,Florida State,0.538,23.3,22.9
2007,Fresno State,0.692,32.8,27
2007,Georgia,0.846,32.6,20.2
2007,Georgia Tech,0.538,26.2,20.8
2007,Hawaii,0.923,43.4,25.5
2007,Houston,0.615,34.5,29.2
2007,Idaho,0.083,21.5,36.9
2007,Illinois,0.692,27.8,21.8
2007,Indiana,0.538,31.7,28.5
2007,Iowa,0.5,18.5,18.8
2007,Iowa State,0.25,18.2,31.8
2007,Kansas,0.923,42.8,16.4
2007,Kansas State,0.417,35.2,30.8
2007,Kent State,0.25,21.6,29.2
2007,Kentucky,0.615,36.5,29.6
2007,Louisiana State,0.857,38.6,19.9
2007,Louisiana Tech,0.417,20.8,30.7
2007,Louisiana-Lafayette,0.25,23.8,35.8
2007,Louisiana-Monroe,0.5,23.5,27.7
2007,Louisville,0.5,35.2,31.4
2007,Marshall,0.25,24.8,34.3
2007,Maryland,0.462,24.1,21.5
2007,Memphis,0.538,29.2,32.2
2007,Miami (FL),0.417,20.6,26
2007,Miami (OH),0.462,19.2,25.6
2007,Michigan,0.692,27.2,21.4
2007,Michigan State,0.538,33.1,26.6
2007,Middle Tennessee State,0.417,25.7,28.3
2007,Minnesota,0.083,26.3,36.7
2007,Mississippi,0.25,20.1,28.5
2007,Mississippi State,0.615,21.5,23.2
2007,Missouri,0.857,39.9,23.3
2007,Navy,0.615,39.3,36.4
2007,Nebraska,0.417,33.4,37.9
2007,Nevada,0.462,33.5,32.2
2007,Nevada-Las Vegas,0.167,18.2,28.6
2007,New Mexico,0.692,24.7,19
2007,New Mexico State,0.308,24,36.2
2007,North Carolina,0.333,21.2,24.5
2007,North Carolina State,0.417,20.8,28.3
2007,North Texas,0.167,24.8,45.1
2007,Northern Illinois,0.167,19.1,30.8
2007,Northwestern,0.5,25.8,31
2007,Notre Dame,0.25,16.4,28.8
2007,Ohio,0.5,30.5,29.9
2007,Ohio State,0.846,31.4,12.8
2007,Oklahoma,0.786,42.3,20.3
2007,Oklahoma State,0.538,34.6,29.5
2007,Oregon,0.692,38.2,23.6
2007,Oregon State,0.692,27.8,22.6
2007,Penn State,0.692,30.3,17.5
2007,Pittsburgh,0.417,22.8,24.3
2007,Purdue,0.615,34.3,26.5
2007,Rice,0.25,31.4,42.9
2007,Rutgers,0.615,32.8,22.5
2007,San Diego State,0.333,25.1,34.4
2007,San Jose State,0.417,20.4,29.3
2007,South Carolina,0.5,26.1,23.5
2007,South Florida,0.692,34.7,23.4
2007,Southern California,0.846,32.6,16
2007,Southern Methodist,0.083,28.3,39.8
2007,Southern Mississippi,0.538,27.8,24.2
2007,Stanford,0.333,19.6,28.3
2007,Syracuse,0.167,16.4,34.8
2007,Temple,0.333,16.4,26.3
2007,Tennessee,0.714,32.5,27.3
2007,Texas,0.769,37.2,25.3
2007,Texas A&M,0.538,27.9,25.9
2007,Texas Christian,0.615,26.1,18.7
2007,Texas Tech,0.692,40.9,25.9
2007,Texas-El Paso,0.333,33.6,37.1
2007,Toledo,0.417,32.9,39.2
2007,Troy,0.667,34,24.6
2007,Tulane,0.333,24.4,31.3
2007,Tulsa,0.714,41.1,33.4
2007,UCLA,0.462,22.4,22.3
2007,Utah,0.692,26.2,16.8
2007,Utah State,0.167,20.6,33.8
2007,Vanderbilt,0.417,21.7,22.6
2007,Virginia,0.692,24.4,19.7
2007,Virginia Tech,0.786,28.7,16.1
2007,Wake Forest,0.692,27.8,22.2
2007,Washington,0.308,29.2,31.6
2007,Washington State,0.417,25.7,32.4
2007,West Virginia,0.846,39.6,18.1
2007,Western Kentucky,0.583,33.2,20.8
2007,Western Michigan,0.417,26.9,28.9
2007,Wisconsin,0.692,29.5,23.2
2007,Wyoming,0.417,19.4,25.9
